route,stop_distance_km,day_of_week,time_of_day,traffic_condition,weather,special_event,temperature_celsius,delay_minutes,arrival_status
Campus Loop,3.77,Thursday,8.1,High,Cloudy,None,33.3,17.1,Late
Grove Village Route,5.9,Monday,10.8,Medium,Clear,Career Fair,26.4,12.7,Late
Grove Village Route,6.22,Sunday,13.7,Low,Clear,Sports Match,30.4,9.9,Late
RAK City Express,6.91,Thursday,20.5,Low,Clear,None,30.9,2.8,On-Time
Grove Village Route,6.49,Wednesday,20.9,Medium,Clear,None,34.5,7.9,Late
Grove Village Route,5.01,Sunday,8.2,Medium,Clear,None,34.5,4.3,On-Time
Campus Loop,1.67,Saturday,21.4,Low,Foggy,Career Fair,36.5,17.0,Late
Grove Village Route,6.33,Wednesday,12.2,Medium,Clear,None,31.5,7.9,Late
Campus Loop,2.22,Tuesday,12.6,High,Rainy,None,27.7,15.1,Late
Al Hamra Link,9.58,Friday,8.3,Medium,Rainy,None,39.5,19.9,Late
Campus Loop,1.83,Monday,10.6,Medium,Clear,None,33.7,7.1,Late
RAK City Express,8.71,Saturday,16.6,Medium,Foggy,None,27.8,14.7,Late
Al Hamra Link,7.36,Tuesday,15.3,Low,Clear,None,25.3,4.0,On-Time
Campus Loop,3.63,Sunday,19.4,Medium,Clear,Sports Match,42.0,11.5,Late
RAK City Express,12.0,Thursday,15.9,Medium,Clear,University Exam,36.8,13.9,Late
RAK City Express,9.12,Monday,18.1,High,Cloudy,None,39.9,16.6,Late
RAK City Express,12.57,Saturday,20.2,Low,Clear,None,38.5,4.9,On-Time
Campus Loop,3.57,Wednesday,10.4,Medium,Dusty,None,33.1,8.1,Late
Al Hamra Link,9.79,Thursday,20.8,Low,Clear,None,33.5,4.7,On-Time
Grove Village Route,6.11,Thursday,19.3,Medium,Clear,None,35.4,5.8,Late
Al Hamra Link,8.61,Wednesday,8.0,Medium,Clear,Sports Match,26.8,13.7,Late
Al Hamra Link,8.67,Sunday,11.7,Medium,Clear,None,36.4,10.5,Late
Grove Village Route,5.64,Friday,13.8,Medium,Cloudy,None,41.7,6.4,Late
Campus Loop,3.43,Saturday,17.5,Medium,Cloudy,None,24.6,6.8,Late
Campus Loop,3.92,Thursday,16.2,Medium,Clear,Open Day,37.2,14.3,Late
RAK City Express,12.48,Tuesday,13.6,Medium,Rainy,None,29.6,14.1,Late
RAK City Express,9.63,Friday,17.9,High,Dusty,None,24.9,19.5,Late
RAK City Express,10.06,Monday,12.5,Medium,Clear,None,27.5,8.3,Late
Al Hamra Link,8.57,Tuesday,20.5,Low,Clear,None,31.4,4.4,On-Time
RAK City Express,6.22,Tuesday,20.0,Medium,Rainy,None,36.9,12.1,Late
Al Hamra Link,7.5,Sunday,18.8,High,Clear,None,38.2,19.3,Late
Grove Village Route,6.08,Friday,14.6,Medium,Clear,None,26.9,5.6,Late
Al Hamra Link,7.57,Wednesday,20.9,Medium,Cloudy,None,36.0,7.8,Late
Al Hamra Link,7.53,Sunday,11.9,Medium,Cloudy,None,38.0,4.3,On-Time
Al Hamra Link,8.91,Monday,12.5,Medium,Cloudy,University Exam,35.8,10.1,Late
Campus Loop,2.57,Wednesday,14.1,Medium,Clear,University Exam,41.4,14.9,Late
Campus Loop,2.89,Thursday,9.3,Medium,Clear,None,35.2,9.1,Late
Al Hamra Link,4.13,Tuesday,10.9,Low,Clear,None,36.4,1.3,On-Time
Grove Village Route,2.26,Sunday,16.0,Medium,Foggy,None,27.7,9.6,Late
Campus Loop,1.15,Saturday,13.1,High,Cloudy,None,32.4,6.8,Late
Al Hamra Link,4.71,Wednesday,9.5,High,Foggy,None,30.9,22.1,Late
Al Hamra Link,9.66,Friday,10.4,Medium,Clear,None,39.0,7.2,Late
Campus Loop,1.06,Saturday,20.9,Low,Rainy,None,24.9,14.2,Late
Campus Loop,0.98,Friday,17.6,High,Foggy,None,33.4,21.0,Late
Campus Loop,1.33,Monday,14.5,Medium,Clear,None,25.8,4.5,On-Time
Grove Village Route,3.21,Wednesday,15.4,Medium,Clear,None,32.6,7.1,Late
Al Hamra Link,9.91,Monday,7.4,Low,Clear,None,32.6,4.2,On-Time
Grove Village Route,2.13,Wednesday,10.1,Medium,Cloudy,None,25.0,5.7,Late
Campus Loop,0.51,Monday,16.1,Medium,Foggy,Sports Match,35.6,17.5,Late
Al Hamra Link,7.38,Saturday,14.3,Low,Cloudy,None,37.1,1.8,On-Time
Grove Village Route,3.55,Wednesday,14.2,Medium,Cloudy,University Exam,37.7,13.9,Late
RAK City Express,13.15,Monday,21.5,Low,Cloudy,None,28.1,4.7,On-Time
RAK City Express,6.35,Saturday,8.8,High,Clear,None,37.3,14.2,Late
Campus Loop,1.28,Friday,14.3,Medium,Rainy,Career Fair,32.0,27.8,Late
Grove Village Route,3.79,Saturday,15.3,Medium,Clear,None,41.4,3.8,On-Time
Campus Loop,3.54,Wednesday,18.1,High,Cloudy,University Exam,29.5,30.0,Late
RAK City Express,13.33,Thursday,19.2,Low,Clear,None,34.5,4.1,On-Time
Grove Village Route,3.72,Saturday,11.0,Medium,Clear,University Exam,40.6,9.5,Late
Campus Loop,2.76,Thursday,14.6,Low,Dusty,University Exam,40.1,10.1,Late
RAK City Express,5.11,Thursday,20.3,Medium,Clear,None,32.5,7.2,Late
Grove Village Route,6.64,Friday,18.9,High,Clear,None,31.0,11.3,Late
Campus Loop,3.66,Saturday,19.2,Medium,Clear,None,41.7,7.4,Late
Al Hamra Link,6.35,Tuesday,15.9,Medium,Clear,None,35.1,5.8,Late
RAK City Express,9.9,Wednesday,13.6,High,Clear,None,33.3,13.8,Late
Grove Village Route,3.63,Wednesday,9.9,High,Cloudy,None,24.3,16.3,Late
Grove Village Route,4.25,Tuesday,7.1,Medium,Cloudy,None,32.2,4.5,On-Time
Campus Loop,1.46,Monday,17.3,High,Clear,None,32.3,9.6,Late
Al Hamra Link,9.09,Thursday,10.6,Medium,Cloudy,None,38.1,6.7,Late
RAK City Express,5.59,Saturday,13.6,Medium,Rainy,None,28.1,14.0,Late
Al Hamra Link,4.19,Monday,11.1,Low,Clear,None,26.4,2.0,On-Time
Al Hamra Link,5.64,Monday,18.7,Medium,Clear,Career Fair,41.1,12.3,Late
Campus Loop,1.17,Thursday,13.3,Medium,Clear,None,26.9,5.1,Late
Grove Village Route,5.59,Tuesday,13.2,Medium,Cloudy,None,40.7,3.5,On-Time
Grove Village Route,4.7,Friday,14.4,Low,Cloudy,None,32.9,1.8,On-Time
Campus Loop,2.2,Sunday,16.6,Low,Clear,University Exam,37.6,9.2,Late
RAK City Express,10.81,Monday,11.1,Medium,Cloudy,None,28.1,7.0,Late
Al Hamra Link,8.03,Thursday,19.6,Medium,Cloudy,Career Fair,24.6,17.5,Late
RAK City Express,8.04,Tuesday,14.4,Medium,Clear,None,26.4,8.0,Late
Al Hamra Link,6.91,Friday,18.4,Medium,Clear,None,35.7,9.3,Late
Grove Village Route,4.88,Thursday,12.3,High,Foggy,None,35.4,21.1,Late
Grove Village Route,3.75,Friday,19.7,Low,Clear,None,38.5,4.3,On-Time
RAK City Express,14.62,Sunday,7.4,Medium,Dusty,None,29.0,11.0,Late
Al Hamra Link,5.35,Monday,18.2,Medium,Clear,None,37.1,6.2,Late
RAK City Express,6.86,Thursday,10.2,Medium,Clear,None,26.2,6.9,Late
RAK City Express,9.86,Sunday,12.7,Medium,Cloudy,None,36.7,6.2,Late
Campus Loop,0.69,Saturday,10.2,Low,Clear,None,36.9,2.1,On-Time
Grove Village Route,2.35,Wednesday,14.6,Medium,Clear,Sports Match,37.8,9.9,Late
Campus Loop,1.7,Saturday,10.9,Low,Cloudy,None,26.3,0.5,On-Time
Al Hamra Link,9.64,Friday,7.5,Medium,Clear,Career Fair,26.4,13.3,Late
Al Hamra Link,9.55,Friday,7.3,Medium,Clear,None,25.1,8.3,Late
Campus Loop,2.36,Wednesday,9.3,High,Clear,None,38.1,17.8,Late
Al Hamra Link,5.12,Tuesday,11.3,Low,Dusty,None,33.8,8.7,Late
Al Hamra Link,8.92,Sunday,19.0,Medium,Clear,None,37.6,6.7,Late
Grove Village Route,2.9,Wednesday,15.6,Medium,Rainy,None,37.3,15.3,Late
Grove Village Route,3.7,Wednesday,9.8,High,Foggy,University Exam,36.1,25.4,Late
RAK City Express,13.01,Monday,13.9,Medium,Clear,None,24.6,8.1,Late
RAK City Express,13.81,Wednesday,7.5,Medium,Clear,None,32.3,8.1,Late
Al Hamra Link,6.85,Tuesday,15.8,Medium,Clear,None,38.9,9.4,Late
Grove Village Route,6.96,Monday,14.3,Medium,Clear,Career Fair,35.5,10.2,Late
Campus Loop,3.18,Wednesday,21.8,Low,Clear,None,40.7,4.3,On-Time
Al Hamra Link,8.05,Wednesday,19.2,Low,Clear,None,25.6,5.8,Late
Campus Loop,3.48,Monday,19.2,Medium,Clear,None,40.8,8.8,Late
Grove Village Route,2.7,Thursday,16.5,Low,Clear,None,37.6,1.5,On-Time
RAK City Express,8.72,Thursday,8.2,High,Clear,None,35.4,16.2,Late
Grove Village Route,6.26,Saturday,12.3,Medium,Clear,University Exam,30.0,10.3,Late
Grove Village Route,2.18,Saturday,10.1,Medium,Cloudy,Career Fair,28.8,12.2,Late
Grove Village Route,3.12,Friday,13.7,Medium,Clear,None,36.4,4.5,On-Time
Grove Village Route,5.88,Monday,12.2,High,Cloudy,Sports Match,30.4,19.3,Late
RAK City Express,7.57,Monday,19.5,Low,Clear,None,35.9,3.3,On-Time
RAK City Express,13.44,Sunday,14.4,Medium,Dusty,None,37.6,14.8,Late
Campus Loop,1.68,Monday,19.4,Medium,Clear,None,38.4,4.3,On-Time
Al Hamra Link,7.28,Wednesday,8.9,High,Cloudy,None,29.7,17.3,Late
RAK City Express,6.26,Thursday,9.5,High,Clear,None,33.0,17.5,Late
Grove Village Route,4.37,Wednesday,10.2,Low,Clear,None,30.1,4.2,On-Time
Al Hamra Link,7.44,Thursday,19.4,Medium,Cloudy,None,38.7,9.2,Late
Grove Village Route,3.16,Friday,17.9,High,Clear,None,27.7,13.6,Late
Grove Village Route,2.1,Sunday,11.6,Medium,Cloudy,None,39.6,5.9,Late
Grove Village Route,4.9,Friday,10.7,Medium,Clear,Open Day,25.3,14.2,Late
Campus Loop,2.35,Sunday,20.4,Medium,Clear,None,26.2,8.6,Late
RAK City Express,14.23,Tuesday,14.0,Medium,Clear,None,32.0,8.2,Late
Al Hamra Link,4.7,Tuesday,7.0,Low,Clear,None,24.2,3.6,On-Time
Campus Loop,1.82,Friday,14.8,Low,Cloudy,None,28.0,3.2,On-Time
Campus Loop,1.15,Tuesday,9.0,High,Clear,None,28.8,12.0,Late
Campus Loop,0.88,Thursday,19.4,Medium,Clear,None,26.6,4.7,On-Time
Al Hamra Link,6.14,Thursday,20.7,Low,Clear,None,24.8,5.3,Late
Al Hamra Link,4.33,Sunday,15.5,Medium,Clear,None,34.2,8.6,Late
Grove Village Route,2.22,Thursday,15.4,Medium,Clear,Sports Match,37.3,11.3,Late
RAK City Express,7.53,Friday,13.5,Medium,Rainy,None,38.1,12.0,Late
Grove Village Route,6.41,Thursday,20.8,Low,Clear,None,35.5,5.4,Late
Campus Loop,2.95,Friday,21.6,Low,Cloudy,None,27.9,2.2,On-Time
Campus Loop,0.8,Tuesday,18.1,High,Foggy,None,26.5,23.9,Late
RAK City Express,13.68,Wednesday,21.3,Low,Clear,None,25.0,4.2,On-Time
Campus Loop,2.83,Friday,20.9,Low,Clear,None,34.6,2.7,On-Time
RAK City Express,11.77,Thursday,7.6,Medium,Cloudy,None,41.7,6.2,Late
RAK City Express,14.67,Tuesday,15.1,Medium,Clear,None,28.1,9.4,Late
Al Hamra Link,5.12,Friday,14.1,Low,Rainy,None,35.5,12.0,Late
Al Hamra Link,7.33,Thursday,21.8,Low,Dusty,None,37.9,10.4,Late
Grove Village Route,2.98,Tuesday,18.9,Medium,Cloudy,None,26.3,9.8,Late
Grove Village Route,6.36,Monday,13.4,Low,Clear,None,31.4,4.8,On-Time
RAK City Express,11.36,Friday,18.8,High,Foggy,University Exam,27.2,38.8,Late
Campus Loop,3.98,Tuesday,20.6,Low,Rainy,None,24.6,13.5,Late
Campus Loop,3.14,Saturday,8.1,High,Clear,None,28.6,18.2,Late
RAK City Express,7.07,Thursday,16.4,Low,Clear,None,26.1,2.4,On-Time
Campus Loop,3.5,Wednesday,11.1,Medium,Dusty,None,38.7,10.6,Late
Al Hamra Link,5.68,Sunday,7.1,Medium,Clear,None,27.2,8.9,Late
Al Hamra Link,6.48,Tuesday,10.1,Medium,Clear,None,31.9,5.9,Late
Grove Village Route,6.96,Saturday,20.2,Low,Foggy,University Exam,34.7,21.3,Late
Grove Village Route,6.56,Friday,14.6,Medium,Clear,None,25.7,9.2,Late
Campus Loop,2.45,Monday,19.4,Medium,Cloudy,None,39.6,4.8,On-Time
Al Hamra Link,6.24,Saturday,7.1,Low,Clear,Open Day,25.9,8.3,Late
Campus Loop,1.66,Thursday,17.2,High,Dusty,None,24.3,16.4,Late
Al Hamra Link,5.79,Wednesday,15.7,Medium,Cloudy,None,30.6,9.5,Late
RAK City Express,10.3,Wednesday,18.2,High,Cloudy,None,28.4,18.9,Late
Grove Village Route,4.61,Wednesday,12.9,Medium,Clear,None,27.2,8.4,Late
Al Hamra Link,7.15,Friday,18.7,High,Cloudy,None,40.8,18.1,Late
Grove Village Route,4.74,Monday,9.0,High,Cloudy,None,27.5,16.3,Late
RAK City Express,5.76,Wednesday,20.4,Low,Clear,None,41.9,3.2,On-Time
Grove Village Route,6.23,Monday,8.6,High,Cloudy,None,27.3,11.1,Late
Campus Loop,3.2,Sunday,7.5,Medium,Clear,None,30.2,6.9,Late
Grove Village Route,2.88,Friday,17.4,High,Dusty,University Exam,26.0,29.1,Late
Al Hamra Link,7.69,Sunday,19.0,Medium,Cloudy,None,41.0,8.9,Late
Campus Loop,1.32,Saturday,18.6,High,Clear,None,40.6,16.5,Late
Campus Loop,2.89,Saturday,18.0,Medium,Clear,None,26.5,9.2,Late
RAK City Express,13.0,Thursday,9.3,Medium,Clear,University Exam,27.1,17.6,Late
Campus Loop,2.63,Monday,9.6,High,Dusty,None,24.1,19.9,Late
Al Hamra Link,6.47,Sunday,20.3,Medium,Rainy,None,37.9,16.0,Late
RAK City Express,10.06,Saturday,17.0,High,Cloudy,None,36.5,15.6,Late
Campus Loop,3.82,Saturday,16.8,Medium,Clear,None,26.0,4.9,On-Time
Grove Village Route,5.77,Monday,14.2,Medium,Cloudy,None,29.0,8.4,Late
Campus Loop,2.16,Wednesday,19.4,Medium,Dusty,University Exam,41.4,19.7,Late
Campus Loop,3.28,Monday,8.0,Medium,Rainy,None,24.3,14.0,Late
Al Hamra Link,9.81,Monday,14.2,Medium,Cloudy,None,34.8,5.7,Late
Campus Loop,2.23,Wednesday,14.4,Medium,Cloudy,None,28.4,5.5,Late
Grove Village Route,6.39,Wednesday,17.3,High,Clear,None,24.8,19.8,Late
Campus Loop,0.6,Friday,13.6,Medium,Rainy,None,37.9,16.1,Late
Campus Loop,0.56,Tuesday,13.9,High,Clear,None,40.5,8.0,Late
Grove Village Route,6.21,Sunday,16.4,Medium,Clear,None,26.1,4.8,On-Time
Campus Loop,2.8,Saturday,19.1,Medium,Cloudy,None,26.3,5.9,Late
RAK City Express,12.9,Tuesday,9.7,High,Clear,None,39.5,18.7,Late
Grove Village Route,4.02,Wednesday,19.9,Medium,Clear,None,37.9,3.9,On-Time
Al Hamra Link,4.48,Monday,16.9,Low,Clear,None,40.4,3.0,On-Time
Grove Village Route,4.42,Wednesday,11.4,Low,Cloudy,None,36.2,3.1,On-Time
RAK City Express,12.19,Monday,21.1,Low,Clear,None,38.1,3.4,On-Time
Al Hamra Link,4.58,Wednesday,16.5,Medium,Clear,None,30.5,7.9,Late
Campus Loop,0.94,Wednesday,17.8,High,Clear,None,38.9,14.0,Late
Campus Loop,2.34,Friday,8.9,High,Clear,None,38.8,18.9,Late
Al Hamra Link,7.89,Wednesday,18.4,High,Clear,None,26.2,19.3,Late
Al Hamra Link,6.25,Thursday,9.8,High,Clear,None,26.0,17.0,Late
RAK City Express,8.16,Sunday,19.1,Medium,Clear,None,29.9,5.5,Late
RAK City Express,5.59,Monday,17.4,Medium,Dusty,None,25.0,16.2,Late
RAK City Express,10.41,Sunday,7.8,Medium,Cloudy,None,26.0,7.7,Late
Grove Village Route,2.15,Tuesday,15.9,Low,Cloudy,None,27.1,3.3,On-Time
Al Hamra Link,8.5,Monday,13.7,High,Clear,Open Day,34.3,25.2,Late
Al Hamra Link,6.93,Thursday,8.4,High,Foggy,None,29.2,19.2,Late
Grove Village Route,6.22,Thursday,9.7,High,Cloudy,None,33.8,11.4,Late
Grove Village Route,5.82,Wednesday,12.3,Low,Clear,None,32.9,3.4,On-Time
Grove Village Route,5.3,Sunday,16.0,Medium,Foggy,None,40.5,13.3,Late
Al Hamra Link,4.38,Wednesday,10.0,Medium,Dusty,None,30.3,14.3,Late
Al Hamra Link,6.98,Tuesday,19.4,Medium,Dusty,None,32.1,12.8,Late
Al Hamra Link,7.54,Tuesday,17.1,High,Clear,None,26.9,16.4,Late
RAK City Express,12.92,Saturday,11.2,Medium,Clear,None,38.7,7.5,Late
Campus Loop,2.4,Saturday,7.8,Low,Cloudy,None,32.4,0.8,On-Time
Grove Village Route,2.66,Tuesday,21.0,Low,Clear,None,40.3,3.8,On-Time
Al Hamra Link,5.52,Monday,21.9,Medium,Clear,None,31.6,9.3,Late
RAK City Express,13.68,Friday,14.4,Medium,Clear,None,39.7,5.9,Late
Grove Village Route,3.71,Thursday,16.6,Low,Cloudy,None,27.4,4.8,On-Time
RAK City Express,10.91,Friday,8.6,High,Foggy,None,32.6,26.9,Late
Campus Loop,1.98,Friday,9.5,Medium,Clear,None,29.0,9.7,Late
Campus Loop,3.07,Tuesday,20.9,Low,Dusty,Career Fair,40.6,10.6,Late
Grove Village Route,6.48,Tuesday,19.5,Medium,Clear,None,27.9,5.3,Late
Campus Loop,2.95,Thursday,12.3,Low,Clear,Career Fair,34.9,12.3,Late
Al Hamra Link,9.42,Sunday,16.2,Medium,Clear,None,35.5,6.6,Late
Grove Village Route,3.06,Saturday,14.9,Medium,Cloudy,None,32.3,3.2,On-Time
RAK City Express,8.44,Tuesday,16.8,Medium,Rainy,None,25.1,15.1,Late
Campus Loop,0.92,Wednesday,16.1,Low,Clear,None,34.9,2.8,On-Time
Grove Village Route,5.67,Saturday,12.6,High,Clear,None,24.4,12.8,Late
Grove Village Route,2.71,Saturday,19.1,Medium,Clear,None,41.0,4.8,On-Time
RAK City Express,14.74,Sunday,16.3,Low,Clear,None,25.3,7.3,Late
RAK City Express,10.99,Thursday,15.8,Medium,Clear,None,32.2,7.0,Late
Campus Loop,2.94,Thursday,13.6,Medium,Clear,Open Day,41.2,9.6,Late
Al Hamra Link,8.57,Tuesday,7.6,Low,Clear,None,36.9,6.1,Late
Al Hamra Link,5.7,Saturday,21.5,Low,Cloudy,University Exam,26.2,7.9,Late
Campus Loop,3.49,Tuesday,9.8,High,Clear,None,29.3,19.2,Late
Grove Village Route,2.12,Thursday,21.4,Low,Clear,Sports Match,31.9,9.0,Late
Grove Village Route,6.65,Wednesday,14.5,Medium,Dusty,None,34.1,10.3,Late
RAK City Express,13.16,Saturday,16.9,Medium,Clear,None,26.1,5.5,Late
Al Hamra Link,8.04,Monday,22.0,Low,Clear,None,37.3,3.7,On-Time
RAK City Express,12.39,Saturday,18.5,Medium,Cloudy,None,27.7,11.5,Late
Campus Loop,1.72,Tuesday,18.0,Medium,Clear,None,36.0,9.2,Late
Campus Loop,3.98,Wednesday,16.1,Medium,Clear,None,31.3,3.1,On-Time
Campus Loop,3.11,Tuesday,15.4,Low,Cloudy,Open Day,39.4,10.1,Late
Al Hamra Link,5.46,Sunday,18.8,High,Clear,None,32.6,11.5,Late
RAK City Express,8.03,Wednesday,12.8,Medium,Clear,Sports Match,31.6,15.6,Late
RAK City Express,9.78,Sunday,13.8,Medium,Clear,None,33.3,10.9,Late
RAK City Express,13.0,Tuesday,13.1,Medium,Clear,None,37.4,8.8,Late
RAK City Express,11.87,Saturday,18.2,High,Cloudy,None,24.2,22.0,Late
Al Hamra Link,6.21,Saturday,14.1,Low,Clear,None,35.8,1.8,On-Time
RAK City Express,11.16,Tuesday,11.1,Medium,Clear,Career Fair,33.8,10.0,Late
RAK City Express,8.55,Saturday,11.3,Medium,Clear,None,33.5,8.9,Late
Al Hamra Link,6.4,Tuesday,11.4,Medium,Cloudy,University Exam,33.6,15.6,Late
RAK City Express,12.71,Thursday,19.7,Medium,Clear,None,40.3,7.9,Late
Al Hamra Link,8.34,Tuesday,21.6,Low,Clear,None,39.0,5.5,Late
RAK City Express,12.9,Wednesday,10.3,Low,Dusty,None,28.4,10.5,Late
Grove Village Route,4.7,Sunday,7.4,Medium,Dusty,None,32.0,10.5,Late
Al Hamra Link,6.19,Tuesday,21.6,Medium,Cloudy,None,35.8,8.7,Late
RAK City Express,6.04,Saturday,19.2,Medium,Clear,None,40.8,7.7,Late
RAK City Express,14.93,Saturday,14.4,Medium,Clear,None,31.2,9.0,Late
Al Hamra Link,4.25,Tuesday,12.0,Low,Cloudy,None,35.5,1.4,On-Time
Al Hamra Link,7.58,Friday,19.4,Low,Clear,None,29.6,5.6,Late
Grove Village Route,6.06,Sunday,15.0,Medium,Rainy,None,29.3,15.1,Late
Al Hamra Link,5.49,Saturday,15.9,Medium,Clear,None,40.2,6.2,Late
Campus Loop,1.76,Sunday,15.8,Medium,Dusty,None,27.9,11.6,Late
Campus Loop,3.89,Sunday,18.9,High,Clear,None,35.8,12.6,Late
RAK City Express,13.52,Friday,19.2,Medium,Clear,None,24.6,9.7,Late
RAK City Express,10.63,Wednesday,10.3,Medium,Cloudy,None,28.5,7.7,Late
RAK City Express,10.04,Sunday,9.4,Medium,Clear,None,37.0,9.0,Late
RAK City Express,10.22,Monday,17.4,Medium,Clear,University Exam,35.9,15.6,Late
Al Hamra Link,6.83,Saturday,17.9,High,Clear,None,26.3,10.4,Late
RAK City Express,7.56,Wednesday,15.8,Medium,Cloudy,None,33.0,5.9,Late
Al Hamra Link,5.72,Friday,13.2,High,Clear,None,31.5,19.4,Late
RAK City Express,9.44,Tuesday,14.2,Medium,Rainy,None,36.8,18.9,Late
Campus Loop,0.9,Sunday,17.3,High,Clear,None,32.2,17.1,Late
Grove Village Route,3.82,Tuesday,11.1,Medium,Clear,None,34.6,2.1,On-Time
Grove Village Route,5.61,Sunday,17.6,High,Clear,None,37.8,9.8,Late
RAK City Express,13.2,Thursday,10.0,Medium,Dusty,None,41.3,14.8,Late
RAK City Express,6.36,Thursday,20.0,Medium,Foggy,None,40.8,16.2,Late
Al Hamra Link,8.47,Thursday,15.5,Medium,Dusty,None,38.7,12.1,Late
RAK City Express,11.06,Saturday,18.0,High,Dusty,None,25.1,22.7,Late
RAK City Express,11.95,Saturday,18.7,High,Clear,None,25.1,15.3,Late
RAK City Express,7.74,Friday,10.0,Medium,Clear,None,38.1,7.3,Late
Grove Village Route,2.93,Wednesday,14.3,Low,Clear,University Exam,27.0,10.4,Late
Al Hamra Link,9.51,Sunday,12.3,Medium,Clear,None,38.0,8.2,Late
Al Hamra Link,9.26,Wednesday,13.8,Medium,Clear,None,39.2,8.7,Late
Al Hamra Link,7.03,Thursday,7.8,Medium,Clear,None,33.7,6.2,Late
Al Hamra Link,8.24,Monday,13.0,Low,Clear,None,40.2,2.2,On-Time
RAK City Express,8.55,Sunday,7.2,Medium,Dusty,None,38.4,6.8,Late
Al Hamra Link,5.1,Wednesday,10.3,Medium,Clear,None,40.0,4.5,On-Time
RAK City Express,10.01,Saturday,17.5,High,Clear,Open Day,25.1,14.4,Late
Grove Village Route,6.67,Saturday,19.5,Medium,Clear,None,26.1,5.9,Late
RAK City Express,12.92,Wednesday,18.0,High,Clear,Sports Match,26.9,31.8,Late
Grove Village Route,4.39,Tuesday,9.1,High,Clear,None,41.6,9.5,Late
Grove Village Route,6.02,Friday,15.4,Low,Clear,None,36.4,4.8,On-Time
RAK City Express,9.88,Thursday,11.7,Medium,Clear,None,38.6,7.2,Late
Al Hamra Link,4.23,Wednesday,20.6,Low,Clear,None,27.0,3.9,On-Time
Grove Village Route,3.7,Sunday,10.1,Low,Rainy,University Exam,28.5,21.0,Late
Al Hamra Link,8.67,Thursday,13.1,Medium,Clear,None,24.3,7.7,Late
Grove Village Route,4.56,Sunday,17.5,High,Clear,None,28.4,16.2,Late
Campus Loop,2.34,Saturday,20.7,Medium,Clear,None,31.7,3.2,On-Time
RAK City Express,14.79,Sunday,7.5,Medium,Clear,None,40.3,7.5,Late
Grove Village Route,3.66,Monday,18.1,High,Clear,None,24.5,14.7,Late
Campus Loop,3.93,Sunday,17.4,Medium,Cloudy,None,26.9,9.1,Late
RAK City Express,5.78,Monday,18.0,High,Clear,None,39.9,11.0,Late
RAK City Express,6.81,Sunday,14.8,Low,Dusty,None,26.6,7.0,Late
Al Hamra Link,8.39,Thursday,13.1,Medium,Cloudy,None,28.0,6.1,Late
RAK City Express,11.88,Friday,13.9,Medium,Clear,University Exam,25.3,17.1,Late
RAK City Express,14.18,Tuesday,13.3,Medium,Cloudy,None,31.6,10.5,Late
Grove Village Route,5.28,Friday,7.4,Medium,Dusty,Open Day,34.0,14.7,Late
RAK City Express,13.8,Wednesday,13.4,Medium,Foggy,None,38.5,16.3,Late
RAK City Express,13.38,Monday,13.7,Medium,Clear,University Exam,34.1,12.0,Late
Al Hamra Link,9.36,Thursday,19.5,Medium,Clear,None,25.4,6.7,Late
RAK City Express,6.25,Saturday,7.6,Medium,Cloudy,University Exam,25.8,12.1,Late
Campus Loop,1.54,Thursday,17.4,Medium,Cloudy,None,38.7,9.7,Late
Campus Loop,1.41,Tuesday,13.2,High,Clear,None,41.0,16.2,Late
Al Hamra Link,5.37,Saturday,9.1,High,Rainy,None,29.5,27.3,Late
Campus Loop,2.83,Saturday,8.1,Medium,Clear,None,37.2,6.2,Late
Campus Loop,1.32,Wednesday,9.1,High,Clear,Career Fair,38.9,23.0,Late
Grove Village Route,4.27,Thursday,20.4,Low,Clear,None,33.7,1.8,On-Time
RAK City Express,12.62,Thursday,7.6,Medium,Cloudy,None,37.9,8.2,Late
RAK City Express,11.49,Tuesday,8.7,High,Clear,None,29.6,14.8,Late
RAK City Express,7.54,Tuesday,13.2,Low,Cloudy,None,35.8,3.1,On-Time
RAK City Express,14.18,Tuesday,7.9,Medium,Clear,None,33.7,9.2,Late
Grove Village Route,6.33,Friday,19.1,Medium,Rainy,None,35.8,12.9,Late
Grove Village Route,5.74,Tuesday,20.9,Low,Clear,University Exam,28.8,6.4,Late
RAK City Express,9.27,Tuesday,20.4,Low,Clear,None,36.9,5.6,Late
Al Hamra Link,6.08,Saturday,9.4,Medium,Clear,None,26.9,9.0,Late
Grove Village Route,5.74,Tuesday,10.2,Medium,Clear,Career Fair,34.0,12.4,Late
Campus Loop,2.51,Wednesday,11.3,Medium,Clear,Career Fair,32.5,13.9,Late
RAK City Express,7.87,Saturday,20.1,Low,Cloudy,None,30.2,4.4,On-Time
Campus Loop,0.84,Thursday,14.3,Low,Cloudy,Career Fair,41.4,11.9,Late
Campus Loop,1.68,Wednesday,8.1,Medium,Cloudy,None,29.3,7.1,Late
RAK City Express,7.66,Sunday,13.3,Medium,Clear,None,35.8,9.1,Late
Grove Village Route,3.91,Friday,19.5,Low,Cloudy,Career Fair,32.7,6.2,Late
Grove Village Route,4.75,Monday,21.1,Low,Clear,None,29.0,1.4,On-Time
Campus Loop,1.31,Tuesday,19.4,Medium,Cloudy,None,38.2,3.6,On-Time
Campus Loop,3.21,Monday,17.1,High,Clear,None,27.4,9.7,Late
